bts_id,latitude,longitude
10215,36.07654572,-111.3857422
107,36.09780121,-106.1227341
266,36.10208333,-110.2212778
10266,36.10208333,-110.2212778
224,36.11083221,-111.2418976
10224,36.11083221,-111.2418976
214,36.1308,-111.2474
1232,36.13136666,-111.235005
11232,36.13136666,-111.235005
112,36.13736111,-105.3701944
199,36.138769,-108.718006
10199,36.138769,-108.718006
112,36.14061111,-105.2299167
246,36.151306,-109.549472
10246,36.151306,-109.549472
250,36.15534973,-110.007988
10250,36.15534973,-110.007988
130,36.15587616,-105.5503006
1211,36.15849444,-109.605775
11211,36.15849444,-109.605775
201,36.16305923,-109.5823059
20201,36.16305923,-109.5823059
162,36.16777777,-106.6041472
105,36.16972222,-104.9941667
112,36.18430833,-105.2213722
105,36.1891,-105.0608
129,36.20778888,-105.9012778
50,36.2082,-106.3192
166,36.20888889,-107.4641758
195,36.21534166,-107.5606583
196,36.21534166,-107.5606583
10195,36.21534166,-107.5606583
217,36.225081,-111.412964
10217,36.225081,-111.412964
17,36.22916794,-105.7419434
160,36.239254,-108.8047409
10160,36.239254,-108.8047409
219,36.24518204,-112.7197113
1202,36.25374444,-109.5920611
11202,36.25374444,-109.5920611
1,36.2583313,-106.4152756
123,36.25975037,-107.7378311
12,36.27661896,-105.5796509
198,36.28418308,-108.7094944
258,36.28917313,-110.3037109
1219,36.28917313,-110.3037109
11219,36.28917313,-110.3037109
102,36.29143143,-109.2043076
298,36.29143143,-109.2043076
20298,36.29143143,-109.2043076
205,36.302247,-111.461981
10205,36.302247,-111.461981
16,36.30622101,-106.0523987
257,36.3248024,-110.9526367
10257,36.3248024,-110.9526367
256,36.33261108,-110.1006775
10256,36.33261108,-110.1006775
11,36.33722305,-106.1925583
26,36.340483,-105.610418
218,36.352108,-109.8315811
10218,36.352108,-109.8315811
211,36.35894394,-111.202774
208,36.36292777,-109.6402722
20208,36.36292777,-109.6402722
153,36.36716666,-105.3317778
164,36.370833,-104.579444
2,36.3813324,-105.2391129
2005,36.3813324,-105.2391129
3,36.38783264,-105.2741928
1536,36.38783264,-105.2741928
24,36.389583,-105.579791
10024,36.389583,-105.579791
20024,36.389583,-105.579791
200,36.394,-111.5273
10200,36.394,-111.5273
1209,36.40197222,-110.8458972
11209,36.40197222,-110.8458972
287,36.40359879,-109.8675232
668,36.41168333,-116.4200861
245,36.41182327,-109.2488174
10245,36.41182327,-109.2488174
172,36.41810989,-107.8438873
1208,36.44558611,-110.7250806
11208,36.44558611,-110.7250806
644,36.45739746,-116.8695221
25,36.45752716,-105.5981369
19,36.46430588,-104.9450302
161,36.47360992,-108.7343063
10161,36.47360992,-108.7343063
212,36.502368,-111.591208
10212,36.502368,-111.591208
193,36.503988,-104.90289
1230,36.50523333,-109.4749583
11230,36.50523333,-109.4749583
8,36.51681519,-104.9134369
178,36.51681519,-104.9134369
1237,36.52211944,-110.0765
11237,36.52211944,-110.0765
192,36.52563858,-105.7756042
229,36.54527664,-110.4947205
10,36.5507431,-105.2772522
149,36.56111111,-105.10325
601,36.56942368,-116.4577484
259,36.580672,-111.100586
20259,36.580672,-111.100586
1228,36.59110277,-110.65505
11228,36.59110277,-110.65505
247,36.59554291,-109.0733185
10247,36.59554291,-109.0733185
681,36.60411111,-117.14575
264,36.62721634,-111.4346466
10264,36.62721634,-111.4346466
1226,36.643511,-110.434639
11226,36.643511,-110.434639
142,36.65563583,-106.553093
13,36.65644455,-105.6329727
227,36.66524887,-110.353447
10227,36.66524887,-110.353447
165,36.68189722,-104.4148667
27,36.68399811,-105.3733902
23,36.69298333,-105.5147944
173,36.69758224,-108.2220001
207,36.6978,-111.6307
10207,36.6978,-111.6307
154,36.704233,-105.3985
171,36.70538712,-108.0812225
113,36.71212222,-106.5623528
20,36.71472168,-105.5977783
126,36.71725464,-106.6069107
1229,36.717636,-110.254086
21229,36.717636,-110.254086
175,36.71986008,-108.1896973
177,36.72048187,-107.9980545
1201,36.723025,-112.2145611
222,36.726139,-109.610175
10222,36.726139,-109.610175
